city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Yamagata,38.2500,140.3333,Japan,JP,Yamagata,admin,249327,249327
Fuji,35.1614,138.6764,Japan,JP,Shizuoka,,245078,245078
Chigasaki,35.3339,139.4047,Japan,JP,Kanagawa,,241887,241887
Tsukuba-kenkyūgakuen-toshi,36.0333,140.0667,Japan,JP,Ibaraki,,240987,240987
Chōfugaoka,35.6506,139.5408,Japan,JP,Tōkyō,,239650,239650
Hachimanchō,40.5100,141.5400,Japan,JP,Aomori,,239046,212104
Yato,35.4693,139.4616,Japan,JP,Kanagawa,,237445,237445
Sato,33.1631,129.7177,Japan,JP,Nagasaki,,237444,211251
Saga,33.2667,130.3000,Japan,JP,Saga,admin,233514,233514
Neya,34.7661,135.6281,Japan,JP,Ōsaka,,229974,229974
Kasukabe,35.9753,139.7525,Japan,JP,Saitama,,229932,229932
Ageoshimo,35.9775,139.5933,Japan,JP,Saitama,,225907,225907
Sakurazuka,34.8000,135.3603,Japan,JP,Ōsaka,,225008,225008
Minamiōzuma,36.2404,137.9700,Japan,JP,Nagano,,224926,210667
Atsugichō,35.4333,139.3667,Japan,JP,Kanagawa,,224677,224677
Kure,34.2492,132.5658,Japan,JP,Hiroshima,,218351,218351
Matsue,35.4681,133.0486,Japan,JP,Shimane,admin,203565,203565
Ashino,42.9750,144.3747,Japan,JP,Hokkaidō,,198566,183612
Itami,34.7867,135.4056,Japan,JP,Hyōgo,,198395,198395
Yachiyo,35.7225,140.0997,Japan,JP,Chiba,,197792,197792
Higashi-Hiroshima,34.4167,132.7333,Japan,JP,Hiroshima,,195805,195805
Suzuka,34.8822,136.5842,Japan,JP,Mie,,195762,195762
Naka,37.4504,138.8600,Japan,JP,Niigata,,195318,179802
Yamaguchi,34.1781,131.4739,Japan,JP,Yamaguchi,admin,194990,194990
Kumagaya,36.1472,139.3886,Japan,JP,Saitama,,194959,194959
Nagareyama,35.8561,139.9025,Japan,JP,Saitama,,193976,193976
Kamirenjaku,35.6833,139.5594,Japan,JP,Tōkyō,,192489,192489
Kawara,35.2647,139.1522,Japan,JP,Kanagawa,,190109,190109
Hino,35.6714,139.3950,Japan,JP,Tōkyō,,189945,189945
Jōetsu,37.1500,138.2333,Japan,JP,Niigata,,189881,189881
Tottori,35.5011,134.2350,Japan,JP,Tottori,,188740,188740
Kōfu,35.6667,138.5667,Japan,JP,Yamanashi,admin,188406,188406
Anjōmachi,34.9667,137.0833,Japan,JP,Aichi,,188181,188181
Izuo,34.4836,135.4236,Japan,JP,Ōsaka,,185208,185208
Toyokawa,34.8268,137.3759,Japan,JP,Aichi,,183823,183823
Uji,34.8808,135.7794,Japan,JP,Kyōto,,180975,180975
Tachikawa,35.6939,139.4194,Japan,JP,Tōkyō,,180880,180880
Hitachi,36.6000,140.6500,Japan,JP,Ibaraki,,176069,176069
Ōbiraki,40.5700,140.4700,Japan,JP,Aomori,,174972,168429
Takaoka,42.6504,141.5500,Japan,JP,Hokkaidō,,174806,147905
Beppuchō,42.9304,143.1700,Japan,JP,Hokkaidō,,173890,165338
Narashino,35.6808,140.0267,Japan,JP,Chiba,,173716,173716
Izumo,35.3681,132.7550,Japan,JP,Shimane,,172784,172784
Kamakurayama,35.3197,139.5525,Japan,JP,Kanagawa,,172262,172262
Sakura,35.7239,140.2239,Japan,JP,Chiba,,170906,170906
Nishio,34.8667,137.0667,Japan,JP,Aichi,,169926,169926
Takaoka,36.7500,137.0333,Japan,JP,Toyama,,167800,167800
Oyama,36.3147,139.8003,Japan,JP,Tochigi,,167633,167633
Iwata,34.7178,137.8514,Japan,JP,Shizuoka,,166393,166393
Ube,33.9517,131.2467,Japan,JP,Yamaguchi,,164325,164325
Niiza,35.7933,139.5653,Japan,JP,Saitama,,164083,164083
Matsuzaka,34.5781,136.5275,Japan,JP,Mie,,160080,160080
Ōgaki,35.3594,136.6128,Japan,JP,Gifu,,158911,158911
Tochigi,36.3824,139.7341,Japan,JP,Tochigi,,155714,155714
Hitachi-Naka,36.3964,140.5344,Japan,JP,Ibaraki,,155680,155680
Ueda,36.4019,138.2492,Japan,JP,Nagano,,154201,154201
Daiwanishi,34.8300,135.4172,Japan,JP,Hyōgo,,153597,153597
Kariya,34.9833,137.0000,Japan,JP,Aichi,,153190,153190
Noda,35.9550,139.8747,Japan,JP,Chiba,,152652,152652
Imabari,34.0661,132.9978,Japan,JP,Ehime,,151956,151956
Kukichūō,36.0622,139.6669,Japan,JP,Saitama,,151106,151106
Higashi-murayama,35.7547,139.4686,Japan,JP,Tōkyō,,150186,150186
Sayama,35.8531,139.4122,Japan,JP,Saitama,,149423,149423
Komaki,35.2833,136.9167,Japan,JP,Aichi,,148709,148709
Tama,35.6333,139.4500,Japan,JP,Tōkyō,,147832,147832
Yonago,35.4281,133.3311,Japan,JP,Tottori,,147667,147667
Iruma,35.8358,139.3911,Japan,JP,Saitama,,146802,146802
Kakamigahara,35.3989,136.8486,Japan,JP,Gifu,,144335,144335
Fukayachō,36.2000,139.2833,Japan,JP,Saitama,,141966,141966
Kusatsu,35.0167,135.9667,Japan,JP,Shiga,,141928,141928
Shimotoda,35.8175,139.6778,Japan,JP,Saitama,,141724,141724
Misato,35.8303,139.8725,Japan,JP,Saitama,,141514,141514
Ishizaki,38.4281,141.3061,Japan,JP,Miyagi,,141293,141293
Kuwana,35.0622,136.6839,Japan,JP,Mie,,139587,139587
Koga,36.1833,139.7000,Japan,JP,Ibaraki,,139274,139274
Tsuchiura,36.0667,140.2000,Japan,JP,Ibaraki,,138517,138517
Yaizu,34.8667,138.3167,Japan,JP,Shizuoka,,136807,136807
Kisarazu,35.3761,139.9169,Japan,JP,Chiba,,135765,135765
Inazawa,35.2500,136.7833,Japan,JP,Aichi,,135676,135676
Isahaya,32.8442,130.0536,Japan,JP,Nagasaki,,134503,134503
Ōme,35.7883,139.2750,Japan,JP,Tōkyō,,133824,133824
Onomichi,34.4089,133.2050,Japan,JP,Hiroshima,,132675,132675
Narita,35.7833,140.3167,Japan,JP,Chiba,,132293,132293
Abiko,35.8642,140.0282,Japan,JP,Chiba,,131026,131026
Zama,35.4886,139.4075,Japan,JP,Kanagawa,,130608,130608
Iwakuni,34.1669,132.2197,Japan,JP,Yamaguchi,,130372,130372
Ōmiyachō,35.2222,138.6214,Japan,JP,Shizuoka,,128501,128501
Kokubunji,35.7108,139.4622,Japan,JP,Tōkyō,,127790,127790
Seto,35.2167,137.0833,Japan,JP,Aichi,,127653,127653
Iizuka,33.6458,130.6914,Japan,JP,Fukuoka,,126715,126715
Ise,34.4833,136.7167,Japan,JP,Mie,,123783,123783
Honmachi,32.5178,130.6181,Japan,JP,Kumamoto,,123758,123758
Tsuruoka,38.7217,139.8217,Japan,JP,Yamagata,,123437,123437
Kashiwara,34.5094,135.7925,Japan,JP,Nara,,122003,122003
Yonashiro-teruma,26.3792,127.8575,Japan,JP,Okinawa,,121294,121294
Daitōchō,34.7119,135.6233,Japan,JP,Ōsaka,,119986,119986
Kadoma,34.7333,135.5833,Japan,JP,Ōsaka,,119692,119692
Ebetsu,43.1039,141.5361,Japan,JP,Hokkaidō,,119509,119509
Nobeoka,32.5822,131.6650,Japan,JP,Miyazaki,,119309,119309
Beppu,33.2847,131.4911,Japan,JP,Ōita,,118499,118499
Handa,34.8992,136.9267,Japan,JP,Aichi,,118145,118145
Kōnosu,36.0658,139.5222,Japan,JP,Saitama,,117373,117373
Kōenchō,43.8081,143.8942,Japan,JP,Hokkaidō,,116848,116848
Ikoma,34.6919,135.7006,Japan,JP,Nara,,116816,116816
Honchō,35.7581,139.5297,Japan,JP,Tōkyō,,116482,116482
Niihama,33.9603,133.2834,Japan,JP,Ehime,,116392,116392
Nasushiobara,36.9617,140.0461,Japan,JP,Tochigi,,116043,116043
Sano,36.3144,139.5783,Japan,JP,Tochigi,,115784,115784
Nagahama,35.3833,136.2833,Japan,JP,Shiga,,115069,115069
Hatsukaichi,34.3486,132.3317,Japan,JP,Hiroshima,,114975,114975
Otaru,43.1833,141.0000,Japan,JP,Hokkaidō,,114947,114947
Hōfu,34.0500,131.5667,Japan,JP,Yamaguchi,,114256,114256
Ōshū,39.1444,141.1389,Japan,JP,Iwate,,114246,114246
Hikone,35.2744,136.2597,Japan,JP,Shiga,,113818,113818
Higashiōmi,35.1128,136.2078,Japan,JP,Shiga,,113165,113165
Fujimino,35.8794,139.5197,Japan,JP,Saitama,,112689,112689
Akishima,35.7056,139.3536,Japan,JP,Tōkyō,,112005,112005
Kazo,36.1314,139.6019,Japan,JP,Saitama,,110921,110921
Sandachō,34.8894,135.2253,Japan,JP,Hyōgo,,110820,110820
Shirayamamachi,36.5144,136.5656,Japan,JP,Ishikawa,,110188,110188
Tondabayashichō,34.4992,135.5972,Japan,JP,Ōsaka,,110132,110132
Habikino,34.5578,135.6061,Japan,JP,Ōsaka,,109553,109553
Kamagaya,35.7769,140.0008,Japan,JP,Chiba,,109525,109525
Mineshita,35.1186,138.9186,Japan,JP,Shizuoka,,108118,108118
Tajimi,35.3328,137.1322,Japan,JP,Gifu,,107535,107535
Saijō,33.9196,133.1812,Japan,JP,Ehime,,105020,105020
Toride,35.9114,140.0503,Japan,JP,Ibaraki,,104667,104667
Ikeda,34.8167,135.4333,Japan,JP,Ōsaka,,104169,104169
Isehara,35.4028,139.3150,Japan,JP,Kanagawa,,102137,102137
Shibuya,35.6536,139.7092,Japan,JP,Tōkyō,,102056,102056
Sakado,35.9572,139.4031,Japan,JP,Saitama,,101531,101531
Sakata,38.9144,139.8364,Japan,JP,Yamagata,,100916,100916
Inzai,35.8322,140.1458,Japan,JP,Chiba,,100907,100907
Chikusei,36.3072,139.9831,Japan,JP,Ibaraki,,100816,100816
Tsuyama,35.1406,134.0319,Japan,JP,Okayama,,100387,100387
Kani,35.4258,137.0611,Japan,JP,Gifu,,100031,100031
Saku,36.2489,138.4769,Japan,JP,Nagano,,98609,98609
Iida,35.5147,137.8219,Japan,JP,Nagano,,98129,98129
Ginowan,26.2817,127.7783,Japan,JP,Okinawa,,98093,98093
Kōnan,35.3333,136.8667,Japan,JP,Aichi,,97893,97893
Fukata,33.8056,130.5406,Japan,JP,Fukuoka,,96886,96886
Kanuma,36.5672,139.7450,Japan,JP,Tochigi,,95812,95812
Kamisu,35.8900,140.6647,Japan,JP,Ibaraki,,95370,95370
Ōmura,32.9000,129.9583,Japan,JP,Nagasaki,,95062,95062
Azumino,36.3028,137.8997,Japan,JP,Nagano,,94463,94463
Hanamaki Onsen,39.3886,141.1167,Japan,JP,Iwate,,94007,94007
Yashio,35.8228,139.8392,Japan,JP,Saitama,,92672,92672
Yotsukaidō,35.6700,140.1683,Japan,JP,Chiba,,92668,92668
Kitakami,39.2867,141.1131,Japan,JP,Iwate,,92447,92447
Higashi-Matsuyama,36.0422,139.4000,Japan,JP,Saitama,,92302,92302
Ōbu,35.0167,136.9667,Japan,JP,Aichi,,92101,92101
Mihara,34.4581,133.0039,Japan,JP,Hiroshima,,91604,91604
Nisshin,35.1333,137.0333,Japan,JP,Aichi,,91514,91514
Imizuchō,36.7125,137.0994,Japan,JP,Toyama,,90877,90877
Takagi,36.1669,136.2317,Japan,JP,Fukui,,88795,88795
Takasagochō-takasemachi,34.7658,134.7906,Japan,JP,Hyōgo,,88223,88223
Mobara,35.4283,140.2881,Japan,JP,Chiba,,87450,87450
Gotenba,35.3086,138.9350,Japan,JP,Shizuoka,,87078,87078
Fukuroi,34.7503,137.9250,Japan,JP,Shizuoka,,87064,87064
Sekimachi,35.4958,136.9178,Japan,JP,Gifu,,86698,86698
Yokotemachi,39.3106,140.5533,Japan,JP,Akita,,86499,86499
Kitanagoya,35.2500,136.8667,Japan,JP,Aichi,,85899,85899
Kitakōriyamachō,34.6494,135.7828,Japan,JP,Nara,,84820,84820
Ushiku,35.9833,140.1500,Japan,JP,Ibaraki,,84637,84637
Higashiyamato,35.7456,139.4267,Japan,JP,Tōkyō,,84223,84223
Chita,35.0000,136.8667,Japan,JP,Aichi,,83946,83946
Muroran,42.3153,140.9736,Japan,JP,Hokkaidō,,83287,83287
Nakatsu,33.5983,131.1883,Japan,JP,Fukuoka,,82875,82875
Kimitsu,35.3306,139.9025,Japan,JP,Chiba,,82548,82548
Moriyama,35.0589,135.9944,Japan,JP,Shiga,,82526,82526
Kaneyama,31.3833,130.8500,Japan,JP,Kagoshima,,82335,54692
Owariasahi,35.2167,137.0333,Japan,JP,Aichi,,81914,81914
Ōmihachiman,35.1283,136.0981,Japan,JP,Shiga,,81322,81322
Iwamizawa,43.1961,141.7758,Japan,JP,Hokkaidō,,80753,80753
